1301,JP,"KYOKUYO CO.,LTD."
1305,JP,iFreeETF TOPIX (Yearly Dividend Type)
1306,JP,NEXT FUNDS TOPIX Exchange Traded Fund
1308,JP,Listed Index Fund TOPIX
1309,JP,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund
130A,JP,Veritas In Silico Inc.
1311,JP,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund
1319,JP,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund
131A,JP,CCN Group Corporation
1320,JP,iFreeETF Nikkei225 (Yearly Dividend Type)
1321,JP,NEXT FUNDS Nikkei 225 Exchange Traded Fund
1322,JP,Listed Index Fund China A Share (Panda) E Fund CSI300
1325,JP,NEXT FUNDS Ibovespa Linked Exchange Traded Fund
1326,JP,SPDR Gold Shares
1328,JP,NEXT FUNDS Gold Price Exchange Traded Fund
1329,JP,iShares Core Nikkei 225 ETF
132A,JP,"IN Holdings Co.,LTD."
1330,JP,Listed Index Fund 225
1332,JP,Nissui Corporation
1333,JP,Maruha Nichiro Corporation
133A,JP,Global X Ultra Short-Term T-Bill ETF
1343,JP,NEXT FUNDS REIT INDEX ETF
1345,JP,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index)Bi-Monthly Dividend Payment Type
1346,JP,MAXIS NIKKEI 225 ETF
1348,JP,MAXIS TOPIX ETF
1349,JP,ABF PAN ASIA BOND INDEX FUND
134A,JP,"UPraise,Inc"
1356,JP,TOPIX Bear -2x ETF
1357,JP,NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund
1358,JP,Listed Index Fund Nikkei Leveraged Index
135A,JP,"VRAIN Solution,Inc."
1360,JP,Nikkei225 Bear -2x ETF
1364,JP,iShares JPX-Nikkei 400 ETF
1365,JP,iFreeETF Nikkei225 Leveraged Index
1366,JP,iFreeETF Nikkei225 Double Inverse Index
1367,JP,iFreeETF TOPIX Leveraged (2x) Index
1368,JP,iFreeETF TOPIX Double Inverse (-2x) Index
1369,JP,One ETF Nikkei225
